RowType,Month,DocNumber,Account,Class,Amount,Memo
Line,2026-01,TI-UNDEDUCTED-Jan2026,13100 Inventory (Credit),,106.20,Relieves inventory for Jan 2026 TikTok catch-up
JE Header,2026-02,DT-UNDEDUCTED-Feb2026,,,56.64,"DTC inventory catch-up for Feb 2026: automated deduction mechanism only posted $1,175.28 of the $1,231.92 expected ($7.08 x 174 units) this month - $56.64 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Feb2026."
Line,2026-02,DT-UNDEDUCTED-Feb2026,52100 Inventory Adjustment - Unrecorded Deductions (Debit),DTC,56.64,DTC: shortfall vs $7.08 baseline = $56.64
Line,2026-02,DT-UNDEDUCTED-Feb2026,13100 Inventory (Credit),,56.64,Relieves inventory for Feb 2026 DTC catch-up
JE Header,2026-03,DT-UNDEDUCTED-Mar2026,,,7.08,"DTC inventory catch-up for Mar 2026: automated deduction mechanism only posted $1,288.56 of the $1,295.64 expected ($7.08 x 183 units) this month - $7.08 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Mar2026."
Line,2026-03,DT-UNDEDUCTED-Mar2026,52100 Inventory Adjustment - Unrecorded Deductions (Debit),DTC,7.08,DTC: shortfall vs $7.08 baseline = $7.08
Line,2026-03,DT-UNDEDUCTED-Mar2026,13100 Inventory (Credit),,7.08,Relieves inventory for Mar 2026 DTC catch-up
JE Header,2026-04,WS-UNDEDUCTED-Apr2026,,,1854.96,"Wholesale inventory catch-up for Apr 2026: automated deduction mechanism only posted $14.16 of the $1,869.12 expected ($7.08 x 264 units) this month - $1,854.96 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Apr2026."
Line,2026-04,WS-UNDEDUCTED-Apr2026,52100 Inventory Adjustment - Unrecorded Deductions (Debit),Wholesale,1854.96,"Wholesale: shortfall vs $7.08 baseline = $1,854.96"
Line,2026-04,WS-UNDEDUCTED-Apr2026,13100 Inventory (Credit),,1854.96,Relieves inventory for Apr 2026 Wholesale catch-up
JE Header,2026-07,TI-UNDEDUCTED-Jul2026,,,290.28,"TikTok inventory catch-up for Jul 2026: automated deduction mechanism only posted $1,267.32 of the $1,557.60 expected ($7.08 x 220 units) this month - $290.28 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Jul2026."
Line,2026-07,TI-UNDEDUCTED-Jul2026,52100 Inventory Adjustment - Unrecorded Deductions (Debit),TikTok,290.28,TikTok: shortfall vs $7.08 baseline = $290.28
Line,2026-07,TI-UNDEDUCTED-Jul2026,13100 Inventory (Credit),,290.28,Relieves inventory for Jul 2026 TikTok catch-up
JE Header,2026-07,AM-UNDEDUCTED-Jul2026,,,63.72,"Amazon inventory catch-up for Jul 2026: automated deduction mechanism only posted $2,697.48 of the $2,761.20 expected ($7.08 x 390 units) this month - $63.72 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Jul2026."
Line,2026-07,AM-UNDEDUCTED-Jul2026,52100 Inventory Adjustment - Unrecorded Deductions (Debit),Amazon,63.72,Amazon: shortfall vs $7.08 baseline = $63.72
Line,2026-07,AM-UNDEDUCTED-Jul2026,13100 Inventory (Credit),,63.72,Relieves inventory for Jul 2026 Amazon catch-up
JE Header,2026-07,WS-UNDEDUCTED-Jul2026,,,84.96,Wholesale inventory catch-up for Jul 2026: automated deduction mechanism only posted $0.00 of the $84.96 expected ($7.08 x 12 units) this month - $84.96 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Jul2026.
Line,2026-07,WS-UNDEDUCTED-Jul2026,52100 Inventory Adjustment - Unrecorded Deductions (Debit),Wholesale,84.96,Wholesale: shortfall vs $7.08 baseline = $84.96
Line,2026-07,WS-UNDEDUCTED-Jul2026,13100 Inventory (Credit),,84.96,Relieves inventory for Jul 2026 Wholesale catch-up
